Name,Name,Mercury,N_of_Fish,Elevation,Surface_Area,Maximum_Depth,Lake_Type,Stratification,Drainage_Area,Runoff_Factor,Flushings_per_Year,Impoundment_Class,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,Longitude Degrees,Longitude_Minutes,Longitude_Seconds
EAGLE.L,Eagle Lake,0.44,5,574,5581,136,1,1,762,0.5,3.2,1,47,2,24,68,33,10
EAST.P,East Pond,0.94,4,263,1823,27,2,NA,NA,0.47,0.2,0,44,36,39,69,46,53
EMBDEN.P,Embden Pond,0.57,3,416,1568,158,1,1,22,0.53,0.3,0,44,55,54,69,56,58
FIELDS.P,Fields Pond,0.96,5,109,182,31,2,0,3,0.51,8.2,0,44,43,47,68,44,6
FISH.P,Fish Pond,0.36,3,1503,211,58,1,1,6,0.56,1.8,1,45,44,46,70,7,27
FISHER.P(BIG),Fisher Pond,0.36,5,1150,60,11,2,0,1,0.56,2.9,1,45,46,43,69,17,5
FLYING.P,Flying Pond,0.35,4,345,360,80,3,1,15,0.51,1.7,0,44,31,16,69,59,36
FOLSOM.P,Folsom Pond,0.71,5,221,282,19,2,0,14,0.49,6.2,0,45,20,25,68,26,37
FOREST.L,Forest Lake,1.22,5,276,210,38,2,1,3,0.53,1.4,0,43,49,12,70,19,42
GRAHAM.L,Graham Lake,0.71,3,102,7865,47,2,0,499,0.58,5.8,0,44,35,38,68,26,15
GRAND.L(WEST),Grand West Lake,0.28,2,298,14340,128,1,1,226,0.56,0.5,0,45,13,56,67,48,6
GRANGER.P,Granger Pond,0.73,5,524,126,28,3,0,1,0.61,1,0,43,57,6,70,46,50
GREENWOOD.P(LITTLE),Greenwood Pond,0.24,3,683,61,38,1,1,1,0.61,1.1,1,45,22,7,69,24,50
HAY.L,Hay Lake,0.24,2,653,588,34,3,0,6,0.53,0.8,1,46,9,10,68,43,18
HICKS.P,Hicks Pond,0.9,5,683,93,18,3,0,10,0.59,18.9,0,44,18,24,70,39,16
HODGDON.P,Hodgdon Pond,2.5,4,50,35,22,2,1,1,0.63,3.9,1,44,19,32,68,23,51
HORSESHOE.L,Horseshoe Lake,0.8,3,454,202,20,2,0,2,0.58,1.1,1,45,1,5,68,3,52
HOSMER.P,Hosmer Pond,0.071,3,212,53,16,3,0,2,0.62,6.8,0,44,12,53,69,7,44
INDIAN.P(BIG),Indian Pond,0.09,4,1209,280,68,1,1,5,0.76,0.9,1,45,26,20,69,44,12
JACOB.BUCK.P,Jacob Buck Pond,0.77,4,205,190,52,1,1,3,0.53,0.8,1,44,38,45,68,44,40
JERRY.P,Jerry Pond,0.62,5,717,272,13,3,0,4,0.56,2.7,1,46,5,50,68,40,33
JUMP.P,Jump Pond,0.43,5,312,29,42,3,1,1,0.56,3.3,1,44,24,9,69,23,55
KEENE.L,Keene Lake,0.35,3,195,115,37,3,1,1,0.61,1.3,1,45,6,38,67,10,30
KEEWAYDIN.L,Keewaydin Lake,0.89,2,676,307,52,2,1,9,0.06,0.3,0,44,15,54,70,50,13
KINGSBURY.P,Kingsbury Pond,0.34,5,929,390,62,3,1,13,0.61,2.2,0,45,6,38,69,39,19
KNIGHT.P,Knight Pond,0.28,5,101,49,18,3,0,0,0.51,0.9,1,43,15,21,70,45,49
LAMBERT.L,Lambert Lake,0.45,5,419,605,60,3,1,6,0.58,0.7,1,45,32,56,67,33,15
LILY.P,Lily Pond,0.37,5,146,44,30,3,1,0,0.46,1,1,44,27,54,69,42,20
LONG.P,Long Pond,0.21,4,1157,3053,44,3,0,558,0.46,20.3,1,45,37,20,70,2,8
LONG.P,Long Pond,0.4,5,390,271,36,3,1,3,0.58,0.9,1,44,55,25,68,15,59
LOVEWELL.P,Lovewell Pond,0.45,5,357,1120,45,2,1,9,0.06,0.1,1,44,0,7,70,55,36
MACHIAS.L(FOURTH),Machias Lake,1.12,5,311,1539,26,3,0,66,0.56,4.7,1,45,7,39,68,0,26
MEDDYBEMPS.L,Meddybemps Lake,0.32,5,170,6765,38,2,0,45,0.62,0.6,0,45,4,27,67,21,43
MOLUNKUS.L,Molunkus Lake,1.12,5,354,1050,38,2,0,35,0.52,2.5,0,45,39,40,68,18,18
MOOSELEUK.L,Mooseleuk Lake,0.48,5,846,422,6,2,0,92,0.58,45.2,1,46,30,33,68,54,18
NEQUASSET.P,Nequasset Pond,0.37,3,17,392,63,3,1,21,0.58,2.3,0,43,57,4,69,46,13
NORTH.P,North Pond,0.54,5,487,175,10,3,0,1,0.57,1.5,0,44,15,38,70,35,11
NORTH.P,North Pond,0.62,4,510,164,50,2,1,2,0.56,0.7,0,44,19,43,70,24,1
ORANGE.L,Orange Lake,0.86,5,76,234,24,3,0,19,0.66,12.6,0,44,46,8,67,14,56
OSSIPEE.L(LITTLE),Ossipee Lake,0.77,3,311,564,74,2,1,6,0.61,0.8,0,43,35,48,70,42,26
OTTER.P,Otter Pond,0.16,4,1373,30,8,2,0,0,0.61,2.3,1,45,21,57,70,44,53
OTTER.P,Otter Pond,0.13,3,1633,14,18,2,0,0,0.71,1.8,1,45,10,51,70,58,53
PASSAGASSAWAUKEAG.L,Passagassawaukeag Lake,0.55,5,304,118,40,3,1,3,0.55,1.9,1,44,30,48,69,7,51
PATTEE.P,Pattee Pond,0.38,5,141,712,27,2,0,17,0.46,2.3,1,44,32,1,69,33,49
PEASE.P,Pease Pond,0.36,5,377,109,19,2,0,2,0.58,2.2,1,44,35,55,70,10,34
PENNINGTON.P,Pennington Pond,0.08,2,904,45,5,2,0,1,0.51,17.5,1,46,56,10,68,31,11
PINE.P(BIG),Pine Pond,0.67,1,1097,164,33,3,1,5,0.51,3.3,1,45,52,1,69,25,37
PITCHER.P,Pitcher Pond,0.67,5,204,367,38,3,0,9,0.58,2.3,0,44,20,14,69,2,24
PLEASANT.L,Pleasant Lake,0.48,5,232,339,36,3,1,3,0.62,0.7,0,45,3,59,67,29,10
PLEASANT.L,Pleasant Lake,0.41,5,319,1574,92,1,1,21,0.5,0.5,NA,45,21,33,67,55,10
PLEASANT.P,Pleasant Pond,0.6,5,362,239,15,3,0,14,0.06,1.2,1,44,0,24,70,53,25
PORTLAND.L,Portland Lake,0.56,5,446,41,53,3,1,1,NA,NA,1,46,24,4,67,49,28
PURGATORY.P(LITTLE),Purgatory Pond,0.23,5,177,44,20,2,0,NA,NA,NA,0,44,12,56,69,56,47
RANGE.P(LOWER),Range Pond,1.25,3,306,290,41,2,1,14,0.51,3.7,0,44,2,25,70,21,31
ROACH.P(SECOND),Roach Pond,0.22,5,1271,970,46,3,0,25,0.66,2.1,0,45,40,34,69,16,36
ROBERTS&WADLEY.PDS,Roberts & Wadley Pond,0.52,5,271,203,22,3,0,9,0.58,10.1,0,43,32,6,70,38,34
ROCKY.P,Rocky Pond,0.68,5,312,153,14,2,0,2,0.57,1.8,1,44,35,17,68,35,52
ROUND(GREY).P,Round (Grey) Pond,0.51,4,269,134,30,2,1,3,0.47,2.1,1,44,44,26,69,13,30
ROUND.P,Round (Blue) Pond,0.44,5,474,161,32,3,1,2,0.55,0.7,1,44,25,57,70,13,15
ROUND.P,Round Pond,0.57,1,34,250,34,2,1,116,0.61,43.7,1,44,12,3,69,17,36
ROWE.P,Rowe Pond,0.22,5,1203,205,43,3,1,2,0.56,0.8,1,45,7,32,69,59,29
SANDY.RIVER.P(LOWER),Sandy River Pond (Lower),0.1,3,1690,17,21,2,1,4,0.56,64.1,1,44,53,52,70,32,34
SANDY.RIVER.P(MID),Sandy River Pond (Middke),0.37,5,1700,70,58,3,1,4,0.56,3.8,1,44,53,52,70,33,16
SECOND.L,Second Lake,0.58,5,247,102,NA,NA,NA,5,NA,NA,NA,45,0,52,67,47,34
SENNEBEC.P,Sennebec Pond,0.41,3,87,532,57,3,1,106,0.6,14.2,0,44,15,26,69,15,59
SEWALL.P,Sewall Pond,0.19,5,15,46,11,2,0,0,0.6,1.7,0,43,52,7,69,46,48
SHIN.P(LOWER),Shin Pond,0.47,5,778,638,25,3,0,23,0.56,4.2,1,46,5,9,68,33,50
SLY.BROOK.L(SECOND),Sly Brook Lake,0.37,5,637,13,21,3,1,3,0.5,25.2,1,47,7,11,68,31,19
SPENCER.P,Spencer Pond,0.14,3,1045,980,16,3,0,21,0.61,5.4,0,45,44,34,69,33,31
SQUAW.P(BIG),Squaw Pond,0.26,5,1486,91,96,1,1,1,0.76,0.8,0,45,27,22,69,40,44
SUNDAY.P,Sunday Pond,0.41,5,1409,30,50,3,1,1,0.61,1.9,1,44,47,56,70,57,12
SYMMES.P,Symmes Pond,0.18,5,499,36,30,2,1,1,0.61,3.3,0,43,38,56,70,52,43
THIRD.L,Third Lake,0.36,2,751,474,37,1,1,32,0.56,7.4,0,46,14,42,69,1,54
TOGUE.P,Togue Pond,0.11,5,1189,388,85,1,1,4,0.56,0.3,1,46,56,1,68,53,30
TOGUS.P,Togus Pond,0.12,5,180,660,49,2,1,5,0.51,0.5,1,44,19,28,69,39,31
TRAVEL.P,Travel Pond,0.82,4,204,102,6,2,0,14,0.57,50.9,1,44,15,14,69,31,49
UMBAGOG.L,Umbagog Lake,0.29,5,1245,7850,48,2,0,600,0.56,9.2,0,44,47,25,71,0,47
UMCOLCUS.L,Umcolcus Lake,0.43,4,882,630,17,2,0,15,0.61,2.9,1,46,17,16,68,25,49
VARNUM.P,Varnum Pond,0.16,5,756,331,75,1,1,4,0.61,0.5,0,44,39,27,70,14,23
WADLEIGH.P,Wadleigh Pond,0.41,5,913,225,90,1,1,41,0.61,7.3,1,45,44,43,69,11,24
WEBBER.P,Webber Pond,0.18,4,118,1201,41,2,1,28,0.51,1.6,0,44,24,13,69,39,53
WEYMOUTH.P,Weymouth Pond,0.19,5,296,87,15,2,0,1,0.47,2,1,44,58,9,69,19,33
WIGHT.P,Wight Pond,0.49,5,67,135,21,3,1,11,0.58,5.9,0,44,27,48,68,40,33
WOOD.P(LITTLE.BIG),Wood Pond,0.25,5,1244,713,80,1,1,39,0.46,2,1,45,38,12,70,20,40
